Duration (in seconds),RecordedDate,ResponseId,Q_sandwich_1,Q_sandwich_2,Q_sandwich_3,Q_sandwich_4,Q_sandwich_5,Q_sandwich_1_labeled,Q_sandwich_2_labeled,Q_sandwich_3_labeled,Q_sandwich_4_labeled,Q_sandwich_5_labeled,Q_current_hunger,Q_priorities_1,Q_priorities_2,Q_priorities_3,Q_priorities_4,Q_priorities_5,Q_special_diet,Q_special_diet_6_TEXT,Q_past_vegetarian,Q_past_vegan,Q_vegetarian_not_me,Q_vegan_not_me,Q_good_for_env,Q_how_important_env,Q_politics,Q_US_state,Q_live_urban,Q_work_urban,Q_work_urban_3_TEXT,Q_demos_age,Q_demos_gender,Q_demos_income,Q_demos_race,Q_comments,STUDY_ID,treatment
182,2022-06-28 09:42:50,R_yxyjdMYFT14xiN3,,,,,,0,1,0,1,0,3,3,4,1,2,5,7,,5,7,5,5,2,4,2,22,2,2,,4,1,6,1,,62bb1ba7f2c710e36fd2c1be,labeled
223,2022-06-28 09:42:57,R_2xL9vHDm0KfOgCa,0,0,0,1,1,,,,,,2,5,3,1,4,2,7,,7,7,4,4,2,3,3,22,2,1,,2,1,4,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
220,2022-06-28 09:42:58,R_30rbJTBzyanldWc,0,0,0,0,0,,,,,,1,5,3,1,2,4,7,,5,7,1,1,3,2,6,7,2,2,,7,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
199,2022-06-28 09:43:50,R_2fdMIz39yAKSmYY,0,0,0,0,0,,,,,,3,1,4,2,5,3,7,,2,3,4,4,2,4,5,22,2,2,,7,1,3,1,ty,62bb1ba7f2c710e36fd2c1be,unlabeled
134,2022-06-28 09:44:01,R_2WBvDkGf61dghtw,0,0,0,1,1,,,,,,2,2,4,1,3,5,7,,5,7,4,2,3,4,1,30,3,2,,4,1,6,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
432,2022-06-28 09:45:00,R_OcIswZ0xAuMEGXf,,,,,,0,1,0,1,0,1,5,1,2,4,3,7,,7,7,4,2,3,4,2,7,2,2,,3,1,3,1,,62bb1ba7f2c710e36fd2c1be,labeled
116,2022-06-28 09:46:34,R_ueIVmPnY077IjJv,,,,,,0,0,0,1,1,3,5,3,1,2,4,7,,2,5,5,5,1,4,1,22,2,2,,4,1,5,2,,62bb1ba7f2c710e36fd2c1be,labeled
182,2022-06-28 09:48:43,R_3psQCXMQP2bQFEG,1,0,1,1,0,,,,,,2,3,5,1,4,2,7,,4,6,3,3,2,4,1,22,1,1,,3,1,4,1,no,62bb1ba7f2c710e36fd2c1be,unlabeled
142,2022-06-28 09:48:52,R_1lcm8qoEkKl4Kxq,,,,,,1,1,0,0,1,3,3,4,1,2,5,7,,5,7,5,2,1,4,1,7,2,2,,3,1,7,1,,62bb1ba7f2c710e36fd2c1be,labeled
165,2022-06-28 09:51:06,R_3enua5Lw7Gwhxby,1,1,1,1,1,,,,,,1,2,1,3,4,5,7,,7,7,4,4,2,5,2,20,1,2,,5,1,4,1,No thanks! ,62bb1ba7f2c710e36fd2c1be,unlabeled
156,2022-06-28 09:51:33,R_3OpEjLPRpEY8Wdz,,,,,,0,0,0,0,0,3,5,2,1,4,3,7,,5,7,1,1,3,1,4,7,2,2,,4,1,5,1,,62bb1ba7f2c710e36fd2c1be,labeled
101,2022-06-28 09:51:45,R_3wLkXI2zKmZFfmF,0,0,0,0,1,,,,,,3,5,2,1,4,3,7,,4,7,2,2,3,2,4,22,2,2,,3,1,2,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
211,2022-06-28 09:52:19,R_3enxDl7PEy5gcMd,,,,,,1,1,0,1,1,3,2,5,1,4,3,3,,0,7,5,5,1,5,3,7,1,1,,5,1,1,1,,62bb1ba7f2c710e36fd2c1be,labeled
137,2022-06-28 09:53:16,R_5pOoPiqLhh39R8R,,,,,,1,0,0,0,0,2,3,4,2,5,1,7,,3,3,4,4,3,2,2,22,2,2,,2,2,6,4,,62bb1ba7f2c710e36fd2c1bf,labeled
173,2022-06-28 09:54:20,R_3CH0dsYIi8sQVQr,,,,,,0,1,1,1,1,3,2,3,1,4,5,7,,4,6,4,4,2,2,3,22,1,2,,6,1,4,1,,62bb1ba7f2c710e36fd2c1be,labeled
338,2022-06-28 09:54:20,R_3dZjcRxUgoxyH4M,0,0,0,0,0,,,,,,3,2,3,1,4,5,7,,7,7,5,4,2,4,6,7,2,2,,4,1,5,1,Enjoyed the study!,62bb1ba7f2c710e36fd2c1be,unlabeled
436,2022-06-28 09:54:41,R_0GqYm0FzAnETHih,,,,,,0,1,1,0,1,2,4,1,2,3,5,7,,7,7,5,5,1,2,4,30,3,2,,3,1,2,1,,62bb1ba7f2c710e36fd2c1be,labeled
177,2022-06-28 09:57:11,R_aaz6vwxXxO5emMF,,,,,,0,1,0,0,0,2,3,1,2,4,5,7,,7,7,4,4,2,4,2,22,1,1,,2,2,2,4,,62bb1ba7f2c710e36fd2c1bf,labeled
892,2022-06-28 09:58:03,R_utfr9qxeODOpwVX,0,0,1,1,0,,,,,,2,5,4,1,2,3,7,,7,7,3,3,4,1,1,41,3,2,,4,1,1,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
178,2022-06-28 09:59:18,R_9tpwHUcbnNKjBiF,,,,,,0,0,1,0,0,2,3,5,1,2,4,7,,4,6,4,4,2,2,5,22,2,1,,3,1,5,1,,62bb1ba7f2c710e36fd2c1be,labeled
141,2022-06-28 09:59:45,R_9oSynJRc61kXpdL,0,0,0,1,0,,,,,,3,3,1,2,5,4,7,,5,7,4,4,2,5,1,22,2,2,,2,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
308,2022-06-28 10:00:03,R_4VBXHBJ2HjCXucV,1,1,0,0,1,,,,,,3,1,3,2,5,4,7,,2,3,4,3,2,5,3,30,1,1,,6,1,3,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
693,2022-06-28 10:01:58,R_2EbdpoGFeUP7x6d,1,1,0,1,0,,,,,,1,2,3,1,4,5,6,We only eat what I am willing to kill. No red meat,3,7,4,3,3,5,3,20,3,2,,6,1,2,1,"In a complex economy vegetarian or ""vegan"" options are only beneficial if they are produced locally. Since many of us live in climates that do not support year round vegetable agriculture that means most of what veggies consume is from somewhere far away and probably in a place lacking in water. Also, there are far more options than Democrat and Republican. Two sides of the same capitalist coin are not a democracy and the cause of much of the worlds problems.",62bb1ba7f2c710e36fd2c1be,unlabeled
130,2022-06-28 10:04:28,R_2CBRJb3NEctqZUe,0,0,0,0,0,,,,,,4,5,2,1,3,4,7,,7,7,2,2,3,4,3,41,2,2,,3,1,2,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
231,2022-06-28 10:04:58,R_C3vmStQNaUAPheN,0,0,0,0,1,,,,,,2,2,5,1,3,4,7,,7,7,4,4,2,4,4,20,3,2,,5,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
197,2022-06-28 10:05:40,R_db759QXvWIY4clr,1,1,0,1,0,,,,,,2,2,3,1,4,5,3,,0,6,5,5,2,5,2,22,2,1,,2,2,4,"1,3",,62bb1ba7f2c710e36fd2c1bf,unlabeled
333,2022-06-28 10:05:43,R_3CC0s9igONcJW1E,,,,,,0,0,0,1,0,3,1,3,2,4,5,7,,5,6,5,5,1,5,1,20,2,1,,3,1,4,7,,62bb1ba7f2c710e36fd2c1be,labeled
326,2022-06-28 10:06:22,R_RerF9idkucVXvhL,,,,,,0,0,1,1,0,4,5,1,2,4,3,7,,7,7,3,3,2,1,3,22,1,1,,3,1,2,6,"Thank you for the study, I answered honestly and to the best of my abilities.",62bb1ba7f2c710e36fd2c1be,labeled
240,2022-06-28 10:07:07,R_3pbRc38aWFrIAhA,,,,,,1,0,0,0,1,2,3,1,2,4,5,3,,4,6,4,4,2,4,3,22,2,2,,5,1,2,1,Everything worked great. Thank you and good luck!,62bb1ba7f2c710e36fd2c1be,labeled
270,2022-06-28 10:08:43,R_2b47C4AbsGVClmF,,,,,,0,0,0,0,1,2,3,2,1,5,4,7,,5,7,4,3,2,4,3,20,3,2,,2,1,3,1,,62bb1ba7f2c710e36fd2c1be,labeled
349,2022-06-28 10:09:39,R_2UghevjmTBVmnEQ,0,0,0,1,0,,,,,,3,3,2,1,4,5,6,Weight loss,3,7,4,4,1,5,3,22,3,2,,7,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
197,2022-06-28 10:09:50,R_1jp98UB7KldGJeC,1,0,0,1,0,,,,,,2,4,2,1,3,5,7,,4,6,5,5,1,5,3,20,2,2,,2,1,2,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
502,2022-06-28 10:10:37,R_QcBPvhDvcSd8yjf,,,,,,1,1,1,1,0,3,5,4,1,3,2,7,,2,4,5,5,1,4,1,22,2,2,,4,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
109,2022-06-28 10:11:40,R_12QihrQmuzUXrsP,0,1,1,0,1,,,,,,4,3,5,1,4,2,7,,5,5,5,5,1,5,1,20,2,2,,4,2,3,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
172,2022-06-28 10:11:48,R_10SPubKvMG8W5A8,,,,,,0,0,0,1,0,3,2,5,1,3,4,7,,4,5,4,4,2,4,4,7,2,2,,5,1,3,1,,62bb1ba7f2c710e36fd2c1be,labeled
171,2022-06-28 10:14:28,R_2zGPfRYtwvDtYxp,,,,,,1,0,0,1,0,3,3,4,2,1,5,7,,4,6,5,4,2,5,2,7,2,2,,3,1,2,"1,4",,62bb1ba7f2c710e36fd2c1be,labeled
196,2022-06-28 10:15:24,R_10HMxjcbAV4d9QX,1,0,0,0,0,,,,,,2,3,5,1,4,2,7,,4,7,4,3,2,3,2,7,2,2,,2,2,6,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
192,2022-06-28 10:16:28,R_6ytvJDFxRosRh9T,,,,,,1,1,0,1,1,3,1,3,2,4,5,6,Flexitarian,1,1,5,5,1,4,2,41,2,2,,7,2,2,1,No,62bb1ba7f2c710e36fd2c1bf,labeled
232,2022-06-28 10:16:45,R_2q2eviH0irL4qwn,,,,,,0,1,1,1,1,2,4,2,1,3,5,7,,7,7,5,3,3,4,2,22,2,1,,4,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
442,2022-06-28 10:17:24,R_1gMdXLx8FysIDCo,0,0,0,1,0,,,,,,2,4,3,1,2,5,7,,7,7,3,2,3,4,5,7,2,2,,4,1,5,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
183,2022-06-28 10:19:01,R_1FamLiaHIYyWvuM,0,1,1,1,1,,,,,,4,4,2,1,3,5,7,,5,7,4,3,1,4,2,22,2,3,,2,2,5,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
158,2022-06-28 10:20:50,R_2BzJqUkYhaSPnXR,,,,,,1,1,0,0,1,3,1,3,2,5,4,7,,0,7,3,4,2,4,3,22,3,2,,3,1,3,1,could have used a few more attention checks... jk.,62bb1ba7f2c710e36fd2c1be,labeled
183,2022-06-28 10:21:37,R_2tArjNRUBR4YZWT,1,0,0,0,1,,,,,,2,4,1,2,3,5,7,,5,5,3,3,2,3,4,22,1,1,,3,1,3,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
120,2022-06-28 10:22:04,R_7UiGn7lgqeyFbA5,,,,,,1,0,0,1,1,2,1,3,2,4,5,7,,5,5,3,3,3,3,2,41,1,2,,3,1,2,1,,62bb1ba7f2c710e36fd2c1be,labeled
310,2022-06-28 10:23:36,R_2YLfDVgEzg45hRk,0,0,1,1,1,,,,,,3,5,2,1,3,4,7,,4,7,2,1,1,5,1,20,3,2,,7,1,3,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
210,2022-06-28 10:26:58,R_10BGPi2wFGCAZAy,,,,,,1,1,0,0,0,3,4,2,1,5,3,7,,2,5,5,5,2,4,1,22,2,2,,3,4,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
149,2022-06-28 10:28:33,R_RR1n6zBQ7007jzP,0,0,1,0,1,,,,,,2,3,2,1,4,5,7,,4,6,2,3,2,4,1,22,2,2,,3,1,4,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
171,2022-06-28 10:28:53,R_1igINt1rbmMsLAz,,,,,,0,0,0,0,0,2,5,1,2,4,3,7,,7,7,4,4,2,5,2,22,2,2,,2,2,1,1,,62bb1ba7f2c710e36fd2c1bf,labeled
151,2022-06-28 10:29:19,R_3JJgpDhLKPsm2zC,0,1,1,0,1,,,,,,4,1,4,2,3,5,1,,7,7,2,1,5,3,4,7,2,3,don't work,3,1,1,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
587,2022-06-28 10:29:45,R_DOkcQYPaEzURQOt,0,0,1,0,0,,,,,,1,3,4,1,5,2,7,,7,7,2,2,3,5,5,20,3,3,Retired,7,1,3,1,Hope I was helpful,62bb1ba7f2c710e36fd2c1be,unlabeled
608,2022-06-28 10:31:18,R_XHfpq9AeFqFOepX,,,,,,0,1,1,1,0,1,3,4,1,2,5,7,,4,7,4,4,2,3,2,22,2,1,,4,2,4,2,,62bb1ba7f2c710e36fd2c1bf,labeled
186,2022-06-28 10:33:41,R_PBQytdvc8ZvrETn,,,,,,1,1,0,1,0,2,4,3,1,5,2,6,No red meat or pork ,3,7,5,3,1,5,1,22,2,2,,2,2,3,6,,62bb1ba7f2c710e36fd2c1bf,labeled
262,2022-06-28 10:33:48,R_10r5OZxen1Pb5aC,0,0,0,0,0,,,,,,2,4,3,1,5,2,7,,1,7,2,2,2,3,4,7,2,2,,7,2,2,1,No,62bb1ba7f2c710e36fd2c1bf,unlabeled
143,2022-06-28 10:33:58,R_2SeMbA9mBG5U7Pg,1,0,0,1,0,,,,,,3,5,2,1,4,3,7,,4,6,1,1,3,4,2,41,2,2,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
192,2022-06-28 10:37:02,R_cMBWlAwvH6TjRdL,,,,,,0,0,0,1,1,3,3,5,2,4,1,7,,4,4,5,5,2,5,4,45,2,2,,4,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
155,2022-06-28 10:37:18,R_3phI0ZJa34MsPGh,,,,,,0,0,1,0,1,3,5,3,1,4,2,7,,3,7,4,4,2,5,1,22,2,2,,2,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
80,2022-06-28 10:39:18,R_5jRxAdjunN2gOTD,0,0,0,1,0,,,,,,2,4,2,1,3,5,7,,7,7,2,1,1,4,2,22,2,2,,2,1,5,"1,4",,62bb1ba7f2c710e36fd2c1be,unlabeled
179,2022-06-28 10:39:39,R_1ItSA7jtL9h5m3K,,,,,,1,1,1,0,0,3,5,1,2,4,3,7,,1,1,3,3,2,4,3,41,2,2,,3,2,1,1,,62bb1ba7f2c710e36fd2c1bf,labeled
136,2022-06-28 10:41:11,R_1OOmIjmfEBRJNly,,,,,,0,0,1,1,0,3,4,1,3,5,2,7,,4,7,5,5,2,5,1,22,1,2,,3,1,1,1,,62bb1ba7f2c710e36fd2c1be,labeled
99,2022-06-28 10:41:36,R_21mmQlcljo3JgKK,,,,,,0,1,0,1,0,1,2,4,3,5,1,7,,7,7,4,4,2,3,3,7,2,2,,2,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
230,2022-06-28 10:41:56,R_1Kp7Ehvr2gyYDBr,1,0,0,0,0,,,,,,3,1,3,2,4,5,7,,7,7,4,4,2,4,3,22,1,2,,3,2,6,2,None ,62bb1ba7f2c710e36fd2c1bf,unlabeled
219,2022-06-28 10:44:43,R_2PvDA9Tq5gwHlJu,1,0,0,1,0,,,,,,2,5,2,1,4,3,7,,4,7,5,5,1,5,1,7,1,1,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
216,2022-06-28 10:45:20,R_rckvoL8MFddVbfb,,,,,,0,0,1,0,0,3,2,3,1,4,5,7,,4,7,3,2,2,3,4,22,2,2,,5,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
171,2022-06-28 10:46:36,R_bgr3ZgZoYCMxGrn,0,0,1,0,0,,,,,,2,2,5,1,3,4,7,,7,7,2,1,3,1,4,47,2,2,,3,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
195,2022-06-28 10:47:52,R_3ma7a47v6qldxEx,,,,,,0,0,0,1,0,3,1,3,2,4,5,7,,7,7,2,2,3,4,6,7,2,2,,4,2,5,1,Enjoyed the survey!,62bb1ba7f2c710e36fd2c1bf,labeled
294,2022-06-28 10:48:40,R_vUowphmj1aKGIw1,1,1,0,1,1,,,,,,1,4,2,1,3,5,2,,2,7,5,4,1,5,1,47,3,2,,7,2,4,1,no,62bb1ba7f2c710e36fd2c1bf,unlabeled
155,2022-06-28 10:48:42,R_RKaBzi4c4M00YeJ,1,1,1,1,0,,,,,,1,4,3,1,5,2,7,,4,7,5,2,2,5,2,7,2,2,,5,2,1,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
136,2022-06-28 10:51:13,R_ah0rTiOv4yaDLgZ,,,,,,1,1,0,0,1,2,3,4,1,2,5,3,,0,3,5,5,1,5,1,22,2,2,,3,2,1,1,,62bb1ba7f2c710e36fd2c1bf,labeled
188,2022-06-28 10:53:37,R_2uyZmjrQAP1PxhP,0,0,0,1,1,,,,,,2,1,3,2,4,5,7,,7,7,3,3,4,4,4,7,2,2,,6,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
193,2022-06-28 10:57:00,R_BRJ2Oj2UPdZQCDD,,,,,,1,1,1,1,1,3,1,5,2,3,4,7,,3,3,5,5,1,5,1,30,3,2,,7,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
316,2022-06-28 10:57:52,R_NVIGZhoJHnttXhL,,,,,,0,0,1,1,1,1,4,3,2,1,5,3,,1,1,5,3,1,5,2,22,2,2,,3,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
304,2022-06-28 10:57:55,R_esOHAo7uwFzdpa9,1,1,0,0,0,,,,,,3,4,5,1,3,2,7,,7,7,4,4,2,3,2,45,1,1,,3,1,2,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
226,2022-06-28 10:57:57,R_2BkzRA69mM6tNo2,0,0,0,1,1,,,,,,2,4,1,2,5,3,7,,7,7,2,1,3,4,2,22,3,2,,2,2,7,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
134,2022-06-28 10:58:40,R_TviF9lfiMw8SAh3,,,,,,0,0,0,0,0,2,1,4,2,5,3,1,,7,7,5,5,5,4,4,22,2,2,,4,2,6,1,,62bb1ba7f2c710e36fd2c1bf,labeled
98,2022-06-28 10:59:01,R_TtMJiWMlSYhc0SZ,,,,,,0,0,1,1,0,3,3,2,1,4,5,7,,7,7,4,4,2,5,3,22,2,2,,3,2,4,4,,62bb1ba7f2c710e36fd2c1bf,labeled
199,2022-06-28 11:00:24,R_2azxttlZKua6vm1,0,0,1,0,0,,,,,,1,3,4,1,5,2,7,,4,7,5,5,2,4,1,22,3,1,,5,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
114,2022-06-28 11:01:22,R_3knQjer6MMPGU5g,,,,,,0,0,0,0,1,4,4,2,1,3,5,4,,5,5,5,5,2,5,1,30,3,2,,3,1,3,1,,62bb1ba7f2c710e36fd2c1be,labeled
208,2022-06-28 11:01:45,R_2v82AiQ5QrPYKxX,0,1,0,0,0,,,,,,2,3,2,1,4,5,7,,7,7,5,5,3,4,2,22,2,3,Not working,4,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
124,2022-06-28 11:04:05,R_1GHZ089LmRrt83J,,,,,,1,1,0,0,0,2,5,4,1,2,3,3,,0,5,5,5,1,4,2,30,2,1,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
228,2022-06-28 11:07:39,R_2bQcQZoRB56bKBn,0,0,1,0,0,,,,,,3,4,2,1,5,3,7,,7,7,4,4,3,4,4,30,3,2,,6,2,3,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
308,2022-06-28 11:08:05,R_Y4vb4PB3iESomv7,,,,,,0,0,0,0,0,2,3,4,1,2,5,7,,7,7,3,1,3,3,4,22,2,2,,3,1,5,1,,62bb1ba7f2c710e36fd2c1be,labeled
133,2022-06-28 11:11:06,R_3CSYqwgOSxgjHgK,1,0,0,0,0,,,,,,3,3,2,1,4,5,7,,4,7,4,4,2,4,1,22,1,1,,3,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
268,2022-06-28 11:12:31,R_2SIgCh6c7oNP7De,,,,,,0,0,0,1,0,2,2,3,1,5,4,7,,4,1,3,4,3,5,1,7,2,3,Retire ,7,2,2,1,None but I cant eat onions,62bb1ba7f2c710e36fd2c1bf,labeled
120,2022-06-28 11:15:39,R_57maJN9LRRXkpkl,,,,,,0,0,0,0,0,4,5,1,2,4,3,7,,7,7,3,2,3,4,2,7,2,2,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
593,2022-06-28 11:18:04,R_3G1FMAr33Gjfj8y,1,1,0,1,1,,,,,,3,3,4,1,5,2,2,,0,7,5,5,2,5,1,7,2,2,,3,2,6,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
189,2022-06-28 11:20:48,R_3iUR2f9iN3DFmMD,0,0,0,0,0,,,,,,3,5,3,2,4,1,7,,3,7,4,4,1,5,1,22,3,2,,3,2,1,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
181,2022-06-28 11:21:26,R_2zvZuw5m0jcm53k,,,,,,0,0,1,1,0,3,2,1,3,4,5,7,,4,6,4,4,2,4,2,20,3,2,,2,2,7,1,,62bb1ba7f2c710e36fd2c1bf,labeled
134,2022-06-28 11:22:41,R_2aFDnlI0ZFjCFT8,1,1,0,0,1,,,,,,3,2,4,1,3,5,7,,5,7,4,3,2,5,3,22,3,2,,4,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
353,2022-06-28 11:25:34,R_2TpHdX5IcMNUJFs,0,0,0,1,0,,,,,,2,2,3,1,4,5,1,,7,7,5,5,2,5,2,22,2,1,,3,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
195,2022-06-28 11:27:25,R_3HovuV0ahIwVbhD,,,,,,0,1,0,1,1,2,4,2,1,5,3,7,,1,7,5,5,1,5,1,22,1,1,,5,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
145,2022-06-28 11:29:14,R_22tRjI9ZkFf1YyL,1,0,0,0,0,,,,,,2,4,3,1,2,5,7,,7,7,1,1,3,3,3,22,2,2,,3,1,3,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
237,2022-06-28 11:29:25,R_1hZ550Sg4JoRjyR,,,,,,0,1,0,1,1,2,3,1,2,4,5,7,,0,2,4,2,3,2,4,22,1,2,,5,2,1,1,,62bb1ba7f2c710e36fd2c1bf,labeled
277,2022-06-28 11:32:32,R_3Pe1HwQ7im3dZ6G,,,,,,0,0,0,1,0,2,5,2,1,4,3,7,,7,7,4,3,3,3,2,7,1,2,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
268,2022-06-28 11:32:59,R_1hNlgRucsvT7Olq,0,0,0,1,1,,,,,,3,4,5,2,3,1,7,,7,7,4,4,3,4,4,22,1,1,,3,2,2,2,None.,62bb1ba7f2c710e36fd2c1bf,unlabeled
222,2022-06-28 11:35:24,R_1Q4tfHrajnNIjpQ,0,1,0,1,0,,,,,,1,3,2,1,4,5,7,,3,7,5,4,1,5,2,22,1,1,,2,1,2,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
123,2022-06-28 11:37:04,R_xfnI6dFEBee4Qmt,,,,,,0,0,0,0,0,3,5,2,3,4,1,7,,7,7,1,1,3,2,2,22,1,1,,3,1,4,1,,62bb1ba7f2c710e36fd2c1be,labeled
110,2022-06-28 11:37:19,R_sU6mBBvnMekkyrf,,,,,,1,0,0,0,0,2,4,2,1,5,3,7,,4,7,3,2,1,5,3,22,1,1,,2,2,1,1,,62bb1ba7f2c710e36fd2c1bf,labeled
203,2022-06-28 11:40:24,R_3q8M1IIAvBVEKiT,0,0,1,1,0,,,,,,2,5,1,2,3,4,7,,7,7,3,4,2,4,4,22,2,2,,2,1,7,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
124,2022-06-28 11:44:52,R_299WfQeLy9rGfGs,,,,,,1,1,0,1,0,3,4,2,1,5,3,3,,0,7,5,3,1,4,1,45,1,2,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
